Eb_N0_dB,Simulated_BER,Theoretical_BER,Error_Ratio
-3,0.15794,0.15836831880959795,0.997295426176034
-2,0.13087,0.13064448852282917,1.0017261461215903
-1,0.1053,0.10375909595340632,1.0148507852004187
0,0.07834,0.07864960352514258,0.9960635081263493
1,0.05621,0.05628195197654147,0.998721579937891
2,0.03717,0.03750612835892598,0.9910380416845669
3,0.02291,0.02287840756108532,1.0013808845231176
4,0.01288,0.01250081804073755,1.0303325716786513
5,0.00646,0.005953867147778662,1.0850090940322998
6,0.00243,0.002388290780932807,1.0174640455844755
7,0.00075,0.0007726748153784446,0.9706541291017247
8,0.00020333333333333333,0.00019090777407599314,1.0650867117249716
9,3.6206896551724136e-05,3.3627228419617505e-05,1.076713670835914
10,3.6462093862815884e-06,3.872108215522035e-06,0.9416599907164549
